CodDisciplina,Tipo,Turma,Horarios,Sala,Periodo,NomeDisciplina,CargaSemanal,CargaTotal,Dependencias,Oferecida,CodDisc,Depen
CRP 199,P,1,6=21,PVA209,1,Cálculo I,6(4-2),90,,S,CRP199,
CRP 199,T,1,3=19|5=21,PVA103|PVA103,1,Cálculo I,6(4-2),90,,S,CRP199,
CRP 199,P,2,4=08,PVA229,1,Cálculo I,6(4-2),90,,S,CRP199,
CRP 199,T,2,3=08|5=10,PVA101|PVA101,1,Cálculo I,6(4-2),90,,S,CRP199,
CRP 199,P,3,3=10,PVA102,1,Cálculo I,6(4-2),90,,S,CRP199,
CRP 199,T,3,2=10|5=08,PVA212|PVA212,1,Cálculo I,6(4-2),90,,S,CRP199,
CRP 199,P,4,6=16,PVA102,1,Cálculo I,6(4-2),90,,S,CRP199,
CRP 199,T,4,2=16|5=14,PVA213|PVA213,1,Cálculo I,6(4-2),90,,S,CRP199,
CRP 199,P,5,4=10,PVA106,1,Cálculo I,6(4-2),90,,S,CRP199,
CRP 199,T,5,2=14|4=16,PVA213|PVA108,1,Cálculo I,6(4-2),90,,S,CRP199,
SIN 110,P,1,6=14,PVA226,1,Programação,6(4-2),90,,S,SIN110,
SIN 110,T,1,3=16|4=14,PVA232|PVA106,1,Programação,6(4-2),90,,S,SIN110,
SIN 110,P,2,5=19,PVA227,1,Programação,6(4-2),90,,S,SIN110,
SIN 110,T,2,2=21|4=19,PVA202|PVA209,1,Programação,6(4-2),90,,S,SIN110,
SIN 110,P,3,4=19,PVA227,1,Programação,6(4-2),90,,S,SIN110,
SIN 110,T,3,2=21|5=19,PVA214|PVA214,1,Programação,6(4-2),90,,S,SIN110,
SIN 130,T,1,3=14|5=16,PVA232|PVA232,1,Introdução à Lógica,4(4-0),60,,S,SIN130,
SIN 130,T,2,3=21|6=19,PVA232|PVA232,1,Introdução à Lógica,4(4-0),60,,S,SIN130,
SIN 222,T,1,2=16|5=14,PVA107|PVA232,1,Fundamentos de Sistemas de Informação,4(4-0),60,,S,SIN222,
SIN 222,T,2,2=19|4=21,PVA202|PVA202,1,Fundamentos de Sistemas de Informação,4(4-0),60,,S,SIN222,
ADE 104,T,1,3=14|5=16,PVA108|PVA103,2,Teoria Geral da Administração,4(4-0),60,,S,ADE104,
ADE 104,T,2,3=19|5=21,PVA214|PVA214,2,Teoria Geral da Administração,4(4-0),60,,S,ADE104,
ADE 104,T,3,2=16|5=14,PVA101|PVA101,2,Teoria Geral da Administração,4(4-0),60,,S,ADE104,
ADE 104,T,4,2=21|5=19,PVA213|PVA213,2,Teoria Geral da Administração,4(4-0),60,,S,ADE104,
CRP 298,T,1,3=08|5=10,PVA114|PVA213,2,Geometria Analítica e Álgebra Linear,4(4-0),60,CRP 191|CRP 199,S,CRP298,CRP191|CRP199
CRP 298,T,20,A combinar,,2,Geometria Analítica e Álgebra Linear,4(4-0),60,CRP 191|CRP 199,S,CRP298,CRP191|CRP199
ESP 105,T,1,4=14|6=16,PVA225|PVA225,2,Iniciação à Estatística,4(4-0),60,CRP 191|CRP 199,S,ESP105,CRP191|CRP199
