AnoOferta;SemestreOferta;CodigoDisciplina;Disciplina;Curso;CargaHorariaDisciplina;NumEstudantes;Aprovacoes;Reprovacoes;Abandonos;MediaNota;MenorNota;MaiorNota;Notas0a10;Notas10a20;Notas20a30;Notas30a40;Notas40a50;Notas50a60;Notas60a70;Notas70a80;Notas80a90;Notas90a100
2010;0;CRP 199;CÁLCULO DIFERENCIAL E INTEGRAL;Agronomia;90.0;1;1;0;0;86;86;86;0;0;0;0;0;0;0;0;1;0
2010;0;CRP 199;CÁLCULO DIFERENCIAL E INTEGRAL;Ciência e Tecnologia de Alimentos;90.0;1;0;1;0;29;29;29;0;0;1;0;0;0;0;0;0;0
2010;0;CRP 199;CÁLCULO DIFERENCIAL E INTEGRAL;Ciência e Tecnologia de Alimentos;90.0;1;1;0;0;60;60;60;0;0;0;0;0;1;0;0;0;0
2010;0;CRP 199;CÁLCULO DIFERENCIAL E INTEGRAL;Engenharia Civil;90.0;2;2;0;0;73;68;78;0;0;0;0;0;0;1;1;0;0
2010;0;CRP 199;CÁLCULO DIFERENCIAL E INTEGRAL;Engenharia Civil;90.0;1;1;0;0;73;73;73;0;0;0;0;0;0;0;1;0;0
2010;0;CRP 199;CÁLCULO DIFERENCIAL E INTEGRAL;Química;90.0;3;2;1;0;50;22;68;0;0;1;0;0;1;1;0;0;0
2010;0;CRP 199;CÁLCULO DIFERENCIAL E INTEGRAL;Química;90.0;4;4;0;0;69;61;86;0;0;0;0;0;0;3;0;1;0
2010;0;CRP 298;GEOMETRIA ANALÍTICA E ÁLGEBRA LINEAR;Sistemas de Informação - Integral;60.0;1;1;0;0;82;82;82;0;0;0;0;0;0;0;0;1;0
2010;0;CRP 298;GEOMETRIA ANALÍTICA E ÁLGEBRA LINEAR;Sistemas de Informação - Integral;60.0;9;9;0;0;86;74;96;0;0;0;0;0;0;0;3;2;4
2010;0;CRP 298;GEOMETRIA ANALÍTICA E ÁLGEBRA LINEAR;Administração - Noturno;60.0;1;1;0;0;99;99;99;0;0;0;0;0;0;0;0;0;1
2010;0;CRP 298;GEOMETRIA ANALÍTICA E ÁLGEBRA LINEAR;Sistemas de Informação - Noturno;60.0;1;1;0;0;83;83;83;0;0;0;0;0;0;0;0;1;0
2010;0;CRP 298;GEOMETRIA ANALÍTICA E ÁLGEBRA LINEAR;Sistemas de Informação - Noturno;60.0;15;14;0;1;72;0;99;1;0;0;0;0;0;3;7;1;3
2010;0;CRP 298;GEOMETRIA ANALÍTICA E ÁLGEBRA LINEAR;Sistemas de Informação - Noturno;60.0;1;1;0;0;78;78;78;0;0;0;0;0;0;0;1;0;0
